koi_id,planet_designation,p_orb_days,a_AU,r_pl_earth,teff,r_star_rsol,insolation_flux_F_E
Kepler-1578,b,1.45,0.02,1.04,5545,0.86,1069.55
Kepler-1579,b,0.85,0.02,0.84,4584,0.70,762.51
Kepler-1582,b,4.84,0.04,1.49,3208,0.30,6.37
Kepler-1583,b,9.33,0.08,0.60,5645,0.91,104.52
Kepler-1584,b,13.40,0.11,1.61,6069,1.13,119.63
Kepler-1585,b,3.58,0.04,1.79,5538,0.91,346.78
Kepler-1587,b,9.41,0.09,1.33,5933,1.22,206.66
Kepler-1588,b,7.85,0.08,0.76,5817,0.99,173.13
Kepler-1589,b,0.99,0.02,1.09,6166,1.25,4790.32
Kepler-674,b,2.24,0.03,1.69,4192,0.57,112.48
Kepler-653,b,14.71,0.12,1.95,5665,1.19,93.55
Kepler-653,c,0.90,0.02,0.78,5665,1.19,3877.34
Kepler-658,b,1.29,0.02,1.63,4103,0.60,232.25
Kepler-404,b,11.83,0.10,1.27,5654,0.88,68.25
Kepler-406,b,2.43,0.04,1.43,5538,1.07,739.50
Kepler-415,b,4.18,0.04,1.21,-999,0.64,0.19
Kepler-431,c,8.70,0.08,0.67,6004,1.09,193.08
Kepler-442,b,112.31,0.41,1.34,4402,0.60,0.73
Kepler-444,d,6.19,0.06,0.53,5046,0.75,90.89
Kepler-446,b,1.57,0.02,1.50,3359,0.24,25.93
Kepler-48,b,4.78,0.05,1.88,5194,0.89,182.70
Kepler-400,c,17.34,0.13,1.49,5886,1.15,79.32
Kepler-402,b,4.03,0.05,1.22,6090,1.26,753.30
Kepler-402,c,6.12,0.07,1.56,6090,1.26,423.73
Kepler-402,e,11.24,0.10,1.46,6090,1.26,188.33
Kepler-403,b,7.03,0.08,1.25,6090,1.33,377.96
Kepler-403,c,54.28,0.30,1.75,6090,1.33,24.75
Kepler-404,c,14.75,0.12,1.72,5654,0.88,50.99
Kepler-406,c,4.62,0.06,0.85,5538,1.07,313.03
Kepler-407,b,0.67,0.01,1.07,5476,1.01,3669.43
Kepler-408,b,2.47,0.04,0.82,6104,1.23,1403.34
Kepler-411,b,3.01,0.04,1.88,4974,0.79,237.36
Kepler-414,b,4.70,0.05,1.71,-999,0.95,0.29
Kepler-1591,b,8.19,0.08,1.27,6082,1.16,245.33
Kepler-1592,b,3.06,0.04,1.54,6213,1.28,1154.06
Kepler-1594,b,2.72,0.04,1.06,5946,1.08,866.76
Kepler-1596,b,66.37,0.32,1.90,5706,0.92,8.09
Kepler-1597,b,2.95,0.04,1.06,6377,1.39,1526.67
Kepler-1598,b,4.34,0.05,0.95,5940,1.09,467.49
Kepler-1601,b,2.21,0.03,0.82,5869,1.07,1077.18
Kepler-1602,b,11.18,0.10,1.34,6296,1.36,238.50
Kepler-1603,b,2.27,0.04,1.29,6241,1.31,1798.27
Kepler-1604,b,0.68,0.01,1.41,4976,0.76,1584.74
Kepler-1605,b,85.76,0.36,1.08,5280,0.82,3.58
Kepler-1607,b,13.65,0.12,0.92,6116,1.21,134.81
Kepler-1608,b,16.47,0.12,1.73,4992,0.72,21.79
Kepler-1610,b,8.70,0.08,1.61,5383,0.87,88.56
Kepler-1611,b,5.18,0.06,0.81,5605,0.93,232.69
Kepler-1612,b,3.92,0.05,1.03,5643,0.94,349.12
Kepler-1614,b,3.95,0.05,1.49,5121,0.76,174.56
Kepler-1616,b,6.76,0.07,1.02,6266,1.34,446.42
Kepler-1617,b,27.48,0.19,1.20,6167,1.22,55.40
Kepler-1618,b,6.11,0.07,1.26,6620,1.65,872.24
Kepler-1619,b,23.62,0.16,0.76,5852,1.00,40.52
Kepler-1620,b,101.95,0.45,1.61,6157,1.23,9.74
Kepler-683,b,2.54,0.04,1.97,5703,0.95,663.27
Kepler-55,f,10.20,0.08,1.59,4503,0.62,21.61
Kepler-57,c,11.61,0.09,1.55,5145,0.73,37.67
Kepler-59,c,17.98,0.14,1.98,6074,0.94,58.26
Kepler-62,e,122.39,0.43,1.61,4925,0.64,1.19
Kepler-80,e,4.64,0.05,1.60,4540,0.68,73.11
Kepler-85,b,8.31,0.08,1.97,5436,0.89,101.81
Kepler-97,b,2.59,0.04,1.48,5779,0.98,736.32
Kepler-98,b,1.54,0.03,1.99,5539,1.11,1535.42
Kepler-431,b,6.80,0.07,0.76,6004,1.09,267.95
Kepler-431,d,11.92,0.10,1.11,6004,1.09,126.85
Kepler-438,b,35.23,0.17,1.12,3748,0.52,1.74
Kepler-440,b,101.11,0.24,1.86,4134,0.56,1.40
Kepler-441,b,207.25,0.64,1.64,4340,0.55,0.24
Kepler-444,b,3.60,0.04,0.40,5046,0.75,187.44
Kepler-444,c,4.55,0.05,0.50,5046,0.75,137.34
Kepler-444,f,9.74,0.08,0.74,5046,0.75,49.75
Kepler-445,b,2.98,0.02,1.58,3157,0.21,7.49
Kepler-445,d,8.15,0.04,1.25,3157,0.21,1.96
Kepler-446,d,5.15,0.04,1.35,3359,0.24,5.30
Kepler-1622,b,10.81,0.10,1.47,6436,1.50,315.89
Kepler-1623,b,4.36,0.05,1.31,5772,1.00,364.83
Kepler-1629,b,3.88,0.05,0.77,5776,1.01,433.88
Kepler-1631,b,4.10,0.05,1.35,5679,0.95,342.45
Kepler-1633,b,186.40,0.68,1.58,6256,1.32,5.20
Kepler-1637,b,6.11,0.07,0.89,5789,1.02,241.81
Kepler-1638,b,259.34,0.79,1.87,5710,0.95,1.39
Kepler-1644,b,21.09,0.14,1.88,5499,0.86,29.38
Kepler-1645,b,16.18,0.13,1.78,5812,1.02,67.06
Kepler-707,b,2.24,0.03,1.33,5099,0.76,362.60
Kepler-245,e,3.22,0.04,1.75,5100,0.80,247.49
K2-58,c,2.54,0.04,1.62,5413,0.86,465.06
K2-58,d,22.88,0.15,1.71,5413,0.86,24.76
K2-65,b,12.65,0.10,1.58,5213,0.84,45.47
K2-68,b,8.05,0.07,1.58,4746,0.68,41.99
K2-72,b,5.58,0.04,1.08,3360,0.33,7.79
K2-72,c,15.19,0.08,1.16,3360,0.33,2.05
K2-72,d,7.76,0.05,1.01,3360,0.33,4.98
K2-72,e,24.16,0.11,1.29,3360,0.33,1.11
K2-80,c,5.61,0.06,1.47,5441,0.87,167.56
K2-81,b,6.10,0.06,1.97,4674,0.63,48.83
K2-83,b,2.75,0.03,1.24,3910,0.42,40.72
K2-83,c,10.00,0.07,1.48,3910,0.42,7.27
Kepler-743,b,3.18,0.04,1.21,5486,0.85,341.67
Kepler-744,b,12.06,0.10,1.62,5594,0.93,74.73
Kepler-746,b,3.48,0.04,1.11,5418,0.93,352.26
Kepler-750,c,4.09,0.05,1.62,6160,1.23,710.86
Kepler-732,c,0.89,0.01,1.27,3631,0.46,161.16
Kepler-255,d,1.05,0.02,1.32,5573,0.93,1878.94
Kepler-737,b,28.60,0.15,1.96,3813,0.48,2.04
Kepler-238,b,2.09,0.03,1.73,5751,1.43,1736.15
Kepler-240,b,4.14,0.05,1.37,4985,0.74,131.69
K2-35,b,5.61,0.05,1.93,4403,0.62,42.84
K2-35,c,2.40,0.03,1.32,4403,0.62,134.85
K2-36,b,1.42,0.02,1.32,4924,0.74,545.98
K2-37,b,4.44,0.05,1.61,5413,0.85,213.13
K2-38,b,4.02,0.06,1.91,5757,1.38,448.33
K2-21,b,9.33,0.08,1.84,4222,0.65,20.85
Kepler-753,b,5.75,0.06,1.91,4346,0.65,44.34
Kepler-755,b,1.27,0.02,1.76,5043,0.77,746.12
Kepler-755,c,2.85,0.04,1.26,5043,0.77,253.34
Kepler-756,b,1.22,0.02,1.12,5282,0.79,990.97
Kepler-757,b,1.02,0.02,1.36,6014,1.13,3607.02
Kepler-758,c,4.76,0.06,1.69,6228,1.42,804.23
Kepler-758,e,8.19,0.08,1.53,6228,1.42,389.63
Kepler-760,c,2.47,0.03,1.48,5322,0.85,440.15
Kepler-763,b,1.20,0.02,1.22,5166,0.80,944.01
Kepler-764,b,7.34,0.07,1.64,5557,0.89,131.18
Kepler-768,b,11.39,0.09,1.79,5108,0.78,43.20
Kepler-243,c,20.03,0.14,1.99,5228,0.84,23.45
Kepler-246,c,11.19,0.09,1.50,5206,0.83,50.31
Kepler-247,b,3.34,0.04,1.64,5100,0.77,204.02
Kepler-249,b,3.31,0.04,1.09,3568,0.48,27.35
Kepler-249,d,15.37,0.10,1.57,3568,0.48,3.56
Kepler-250,b,4.15,0.05,1.13,5160,0.81,181.13
Kepler-251,b,4.79,0.05,1.33,5526,0.89,235.92
Kepler-253,b,3.78,0.05,1.63,5208,0.79,194.68
Kepler-102,f,27.45,0.17,0.88,4909,0.76,10.92
Kepler-1144,b,17.15,0.13,1.99,5753,0.96,54.20
Kepler-1149,b,3.73,0.05,1.44,5833,1.01,471.70
Kepler-1153,b,1.76,0.03,1.73,5470,0.88,816.30
Kepler-1157,b,4.46,0.05,1.09,4679,0.71,92.63
Kepler-1166,b,33.24,0.20,1.69,5446,0.86,15.29
Kepler-1180,b,16.86,0.13,1.99,6077,1.14,90.66
Kepler-1185,b,104.35,0.43,1.33,5622,0.87,3.70
Kepler-1224,b,13.32,0.12,1.33,6155,1.22,141.85
Kepler-1229,b,86.83,0.31,1.40,3784,0.51,0.49
Kepler-1238,b,4.15,0.06,1.93,6386,1.48,1074.77
Kepler-1243,b,16.83,0.13,1.75,5667,0.94,50.84
Kepler-1251,b,45.09,0.24,1.84,5545,0.89,11.55
Kepler-1254,d,5.73,0.06,1.31,4985,0.75,93.70
Kepler-1258,b,0.98,0.02,0.86,5839,0.99,2741.11
Kepler-1263,b,4.55,0.05,1.14,5213,0.80,164.85
Kepler-770,d,4.15,0.05,1.40,5598,0.92,303.96
Kepler-771,b,8.73,0.08,1.82,5906,1.05,171.23
Kepler-772,b,12.99,0.11,1.82,5714,1.11,102.08
Kepler-773,b,3.75,0.05,1.43,5850,1.01,468.04
Kepler-775,b,0.97,0.02,1.19,5468,0.84,1615.69
Kepler-776,b,4.90,0.05,1.28,5071,0.78,128.29
Kepler-778,b,3.76,0.04,1.68,5102,0.77,185.48
Kepler-769,c,15.99,0.13,1.79,6186,1.28,124.24
Kepler-779,b,7.10,0.06,0.92,3804,0.44,11.68
Kepler-780,b,0.68,0.02,0.89,5769,1.02,4507.01
Kepler-770,c,1.48,0.02,1.20,5598,0.92,1207.94
Kepler-783,b,4.29,0.05,0.78,5521,0.89,259.32
Kepler-784,b,31.59,0.20,1.58,5674,1.32,42.35
Kepler-787,b,0.93,0.02,1.28,4248,0.62,431.45
Kepler-792,b,11.30,0.10,1.96,5971,1.12,139.03
Kepler-793,b,4.24,0.05,1.37,5745,0.97,354.37
Kepler-795,b,29.62,0.18,1.68,5631,0.96,24.68
Kepler-256,b,1.62,0.03,1.59,5551,1.30,1974.89
Kepler-260,c,76.05,0.33,1.74,5250,0.86,4.57
Kepler-262,c,21.85,0.15,1.64,5841,0.88,35.00
Kepler-265,b,6.85,0.07,1.86,5835,1.10,264.33
K2-85,b,0.68,0.01,1.01,4268,0.51,485.43
K2-86,b,8.78,0.08,1.96,5482,0.76,78.94
K2-88,b,4.61,0.03,1.23,3537,0.26,7.98
K2-89,b,1.10,0.01,0.62,3691,0.32,79.78
K2-90,c,2.90,0.04,1.30,4422,0.63,111.15
K2-91,b,1.42,0.02,1.10,3622,0.28,45.01
HD3167,b,0.96,0.02,1.70,5261,0.86,1543.18
Kepler-1385,b,2.89,0.04,0.85,5732,1.29,931.65
Kepler-804,b,14.37,0.12,1.94,5817,1.05,84.03
Kepler-806,b,8.09,0.08,1.14,5770,1.16,216.46
Kepler-808,b,0.63,0.01,1.46,4653,0.71,1226.97
Kepler-810,b,4.60,0.05,1.93,5803,1.04,368.46
Kepler-267,b,3.35,0.04,1.98,4258,0.56,67.56
Kepler-270,c,25.26,0.18,1.77,6067,1.46,79.98
Kepler-271,b,5.22,0.06,0.89,5524,0.88,206.30
Kepler-271,c,7.41,0.07,1.00,5524,0.88,128.34
Kepler-272,b,2.97,0.04,1.43,5297,0.93,423.07
Kepler-272,c,6.06,0.06,1.79,5297,0.93,164.18
Kepler-273,b,2.94,0.04,1.50,5626,0.81,430.79
Kepler-273,c,8.01,0.07,1.98,5626,0.81,110.67
Kepler-274,b,11.63,0.10,1.54,6023,1.01,118.07
Kepler-274,c,33.20,0.20,1.84,6023,1.01,28.94
K2-102,b,9.92,0.08,1.30,4695,0.71,32.06
EPIC,21182279,21.17,0.13,1.98,4148,0.57,5.03
K2-104,b,1.97,0.02,1.96,3546,0.49,64.42
Kepler-280,b,2.14,0.03,1.45,5744,0.89,755.50
Kepler-282,b,9.22,0.08,1.01,5602,0.90,106.45
Kepler-282,c,13.64,0.11,1.20,5602,0.90,63.70
Kepler-283,c,92.74,0.34,1.82,4351,0.57,0.90
Kepler-285,b,2.63,0.04,1.34,5411,0.81,389.38
Kepler-285,c,6.19,0.06,1.12,5411,0.81,123.20
Kepler-286,b,1.80,0.03,1.24,5580,0.86,882.48
Kepler-286,d,5.91,0.06,1.33,5580,0.86,172.89
Kepler-286,e,29.22,0.18,1.77,5580,0.86,20.77
Kepler-288,b,6.10,0.06,1.67,5918,1.09,309.47
Kepler-291,c,5.70,0.06,1.88,6002,1.02,286.72
Kepler-292,b,2.58,0.04,1.32,5299,0.83,397.83
Kepler-444,e,7.74,0.07,0.55,5046,0.75,67.54
Kepler-446,c,3.04,0.02,1.11,3359,0.24,10.72
Kepler-450,d,7.51,0.08,0.84,-999,1.57,0.32
Kepler-452,b,384.84,1.05,1.63,5757,1.11,1.11
Kepler-1317,b,0.57,0.01,1.56,5144,0.79,2458.42
Kepler-1330,b,10.11,0.09,1.65,5608,0.94,95.58
Kepler-1335,b,6.26,0.06,1.45,4903,0.74,76.40
Kepler-1338,b,0.94,0.02,0.92,5909,1.05,3353.74
Kepler-1343,b,3.35,0.04,1.93,5759,0.93,459.66
Kepler-1348,b,27.57,0.18,1.94,5911,1.04,36.17
Kepler-1351,b,0.92,0.02,0.65,4439,0.67,581.94
Kepler-138,b,10.31,0.07,0.52,3841,0.44,6.80
K2-47,b,31.64,0.18,1.89,5054,0.76,10.68
K2-49,b,2.77,0.03,1.93,4175,0.45,57.81
K2-50,b,8.75,0.07,1.59,4326,0.55,19.12
K2-54,b,9.78,0.07,1.15,3798,0.38,5.99
Kepler-292,c,3.72,0.05,1.47,5299,0.83,240.66
Kepler-294,b,3.70,0.05,1.77,5913,0.98,457.19
Kepler-295,c,21.53,0.14,1.17,5603,0.90,35.52
Kepler-296,b,10.86,0.08,1.61,3740,0.48,6.48
Kepler-296,f,63.34,0.25,1.80,3740,0.48,0.62
Kepler-298,c,22.93,0.14,1.93,4465,0.58,6.49
Kepler-299,b,2.93,0.04,1.32,5617,1.03,592.20
Kepler-299,e,38.29,0.22,1.87,5617,1.03,19.58
Kepler-300,b,10.45,0.09,1.67,5986,0.90,105.60
Kepler-301,c,5.42,0.06,1.35,5815,0.90,230.82
Kepler-301,d,13.75,0.11,1.75,5815,0.90,66.24
Kepler-303,b,1.94,0.02,0.89,3944,0.48,86.84
Kepler-1392,b,15.14,0.11,1.96,5479,0.85,44.33
Kepler-1400,b,9.07,0.08,1.62,5044,0.78,55.24
Kepler-1409,b,0.76,0.02,1.04,5160,0.79,1677.36
Kepler-1414,b,3.52,0.04,1.23,4951,0.75,171.82
Kepler-1418,b,22.48,0.14,1.66,4770,0.72,11.80
Kepler-1423,b,23.96,0.15,1.06,4939,0.75,13.28
Kepler-1463,b,25.16,0.17,1.86,5679,0.95,30.65
Kepler-1471,b,3.64,0.05,1.41,5660,0.93,384.34
Kepler-1480,b,22.13,0.15,1.67,5156,0.81,19.48
Kepler-1485,b,19.92,0.15,1.47,6087,1.12,69.69
Kepler-1489,b,82.29,0.36,1.77,5655,0.90,5.69
Kepler-1498,b,48.05,0.25,1.33,5256,0.81,7.42
K2-3,d,44.56,0.21,1.51,3896,0.56,1.50
Kepler-10,b,0.84,0.02,1.48,5627,1.06,3416.34
Kepler-100,b,6.89,0.07,1.32,5825,1.49,434.01
Kepler-102,d,10.31,0.09,1.18,4909,0.76,40.28
Kepler-303,c,7.06,0.06,1.14,3944,0.48,15.39
Kepler-306,b,4.65,0.05,1.52,4954,0.72,112.06
Kepler-309,b,5.92,0.06,1.56,4713,0.72,65.92
Kepler-311,b,9.18,0.09,1.70,5905,1.19,204.10
Kepler-311,c,19.74,0.14,1.43,5905,1.19,73.47
Kepler-537,b,3.25,0.04,1.41,5763,0.99,503.28
Kepler-523,b,5.84,0.06,1.96,5515,0.86,160.07
Kepler-524,b,7.97,0.08,1.91,6014,1.10,219.71
Kepler-524,c,1.89,0.03,0.96,6014,1.10,1498.96
Kepler-526,b,5.46,0.06,1.99,5894,1.14,348.20
Kepler-529,b,1.98,0.03,1.86,6087,1.14,1606.13
Kepler-106,b,6.16,0.07,0.82,5858,1.04,263.90
Kepler-107,d,7.96,0.08,1.07,5851,1.41,310.91
Kepler-114,c,8.04,0.06,1.60,4605,0.67,43.20
Kepler-124,b,3.41,0.04,0.73,4984,0.64,149.09
Kepler-125,c,5.77,0.05,0.74,3810,0.51,18.91
Kepler-127,b,14.44,0.12,1.40,6106,1.36,147.63
Kepler-128,c,22.80,0.17,1.13,6090,1.66,122.94
Kepler-131,c,25.52,0.17,0.84,5685,1.03,34.10
Kepler-132,c,6.41,0.07,1.28,6003,1.18,350.85
Kepler-134,c,10.11,0.09,1.26,5983,1.18,189.13
Kepler-136,c,16.40,0.13,1.99,6165,1.35,133.54
Kepler-138,c,13.78,0.09,1.20,3841,0.44,4.62
Kepler-140,b,3.25,0.05,1.61,6077,1.29,1005.56
Kepler-142,b,2.02,0.03,1.99,5790,1.27,1588.26
Kepler-316,c,6.83,0.06,1.16,4204,0.52,22.53
Kepler-317,c,8.78,0.08,1.72,5497,0.94,105.08
Kepler-319,b,4.36,0.05,1.63,5526,0.90,260.55
Kepler-320,c,17.93,0.14,1.37,6435,1.11,94.01
Kepler-321,b,4.92,0.06,1.77,5740,1.19,424.51
Kepler-322,c,4.34,0.05,1.67,5388,0.89,230.28
Kepler-323,b,1.68,0.03,1.43,5987,1.18,2047.31
Kepler-323,c,3.55,0.05,1.63,5987,1.18,758.55
Kepler-326,b,2.25,0.03,1.52,5105,0.80,380.86
Kepler-326,c,4.58,0.05,1.40,5105,0.80,149.94
Kepler-326,d,6.77,0.07,1.21,5105,0.80,89.53
Kepler-327,b,2.55,0.03,1.11,3799,0.49,53.35
Kepler-327,d,13.97,0.09,1.73,3799,0.49,5.54
Kepler-329,c,18.68,0.11,1.93,4257,0.52,6.24
Kepler-330,b,8.26,0.08,1.35,5117,0.72,56.69
Kepler-330,c,15.96,0.12,1.95,5117,0.72,23.70
Kepler-1428,b,10.68,0.10,1.64,6184,1.36,228.60
Kepler-1429,b,4.48,0.05,1.29,5902,1.07,425.84
Kepler-1430,b,2.46,0.03,1.18,4796,0.72,230.19
Kepler-1431,b,5.87,0.06,1.47,5806,1.03,261.68
Kepler-1433,b,4.14,0.05,1.56,6097,1.19,632.60
Kepler-1434,b,8.05,0.09,1.11,6291,2.04,731.53
Kepler-1435,b,4.45,0.06,0.86,6356,1.32,800.52
Kepler-1436,b,9.71,0.09,1.31,5972,1.09,164.45
Kepler-154,e,3.93,0.05,1.50,5690,1.00,427.43
Kepler-154,f,9.92,0.09,1.50,5690,1.00,124.49
WASP-47,e,0.79,0.02,1.82,5576,1.16,3899.54
Kepler-202,c,16.28,0.11,1.85,4668,0.67,14.98
Kepler-174,b,13.98,0.10,1.96,4880,0.62,19.56
Kepler-186,b,3.89,0.03,1.07,3755,0.52,41.00
Kepler-186,f,129.94,0.43,1.17,3755,0.52,0.26
Kepler-191,b,9.94,0.09,1.34,5282,0.79,57.58
Kepler-331,c,17.28,0.10,1.84,4347,0.49,6.98
Kepler-331,d,32.13,0.16,1.64,4347,0.49,3.04
Kepler-332,b,7.63,0.07,1.17,4955,0.72,57.22
Kepler-332,c,16.00,0.11,1.09,4955,0.72,21.57
Kepler-333,b,12.55,0.09,1.32,4259,0.53,10.96
Kepler-333,c,24.09,0.14,1.11,4259,0.53,4.55
Kepler-334,b,5.47,0.06,1.12,5828,1.07,318.48
Kepler-334,d,25.10,0.17,1.41,5828,1.07,41.99
Kepler-337,b,3.29,0.05,1.54,5684,1.76,1432.57
Kepler-338,e,9.34,0.09,1.56,5923,1.74,416.31
Kepler-339,b,4.98,0.05,1.42,5631,0.80,190.85
Kepler-339,c,6.99,0.07,1.15,5631,0.80,121.26
Kepler-341,b,5.20,0.06,1.18,6012,1.02,338.74
Kepler-341,c,8.01,0.08,1.70,6012,1.02,190.54
Kepler-1437,b,10.93,0.09,1.37,5557,0.90,78.28
Kepler-1438,b,2.32,0.03,0.94,5530,0.96,670.96
Kepler-1439,b,8.07,0.06,1.46,3578,0.43,7.35
Kepler-1440,b,39.86,0.23,1.26,5698,0.96,16.94
Kepler-1441,b,39.44,0.23,1.31,5802,1.00,19.77
Kepler-1443,b,2.42,0.04,0.97,6289,1.27,1621.33
Kepler-1445,b,10.60,0.10,0.96,6150,1.26,210.55
Kepler-1446,b,0.69,0.01,0.82,4865,0.75,1393.04
Kepler-1448,b,12.27,0.10,1.61,5774,0.93,82.32
Kepler-1449,b,13.23,0.11,1.68,5979,1.10,109.98
Kepler-1450,b,54.51,0.25,1.71,4524,0.68,2.76
Kepler-1454,b,47.03,0.25,1.88,5448,0.86,9.64
Kepler-1456,b,18.14,0.12,1.14,4231,0.62,8.15
Kepler-1457,b,51.11,0.27,1.99,5866,1.01,14.82
Kepler-1459,b,62.87,0.28,1.36,4828,0.74,3.29
Kepler-1460,b,29.96,0.17,1.96,4422,0.67,5.48
Kepler-1464,b,31.78,0.20,1.66,5828,1.01,27.02
Kepler-1464,c,5.33,0.06,1.00,5828,1.01,292.32
Kepler-339,d,10.56,0.09,1.17,5631,0.80,69.72
Kepler-383,c,31.20,0.17,1.24,4710,0.67,6.70
