koi_id,planet_designation,p_orb_days,a_AU,r_pl_earth,teff,r_star_rsol,insolation_flux_F_E
K2-165,b,2.35,0.03,1.27,5185,0.80,391.51
K2-165,c,4.38,0.05,1.55,5185,0.80,171.03
K2-166,b,8.53,0.08,1.82,5922,1.20,227.60
Kepler-804,c,9.65,0.09,1.14,5817,1.05,142.92
EPIC,22067482,0.57,0.01,1.82,5496,0.95,4292.05
Kepler-883,b,12.98,0.11,1.78,6116,1.09,122.71
Kepler-917,b,2.97,0.04,1.91,5418,0.76,316.79
Kepler-935,b,4.88,0.05,1.35,4830,0.73,96.82
Kepler-969,c,1.68,0.03,0.99,5214,0.82,614.66
Kepler-974,b,4.19,0.04,1.57,3687,0.50,24.74
Kepler-992,b,20.16,0.13,1.62,4944,0.74,16.21
Kepler-997,b,2.71,0.04,1.36,6150,1.56,1892.63
K2-111,b,5.35,0.06,1.90,5730,1.23,379.44
Kepler-1027,b,1.91,0.03,0.89,5436,0.82,618.89
Kepler-1032,b,3.29,0.04,1.87,4647,0.71,133.93
Kepler-1049,b,3.27,0.03,0.95,3864,0.49,40.40
Kepler-1062,b,9.30,0.08,1.76,4597,0.70,31.73
Kepler-1065,c,2.37,0.03,1.60,5635,0.93,673.48
Kepler-1091,b,1.43,0.02,1.46,5851,1.03,1787.67
Kepler-1095,b,4.27,0.05,1.21,5658,0.92,305.52
K2-223,c,4.56,0.06,1.62,5859,1.01,355.47
K2-224,b,4.48,0.05,1.66,5614,0.84,238.54
K2-226,b,3.27,0.04,1.49,5397,0.82,297.39
K2-227,b,13.62,0.11,1.67,5673,0.89,61.12
K2-228,b,2.70,0.03,1.38,4764,0.70,192.34
K2-229,b,0.58,0.01,1.16,5185,0.79,2436.56
K2-219,c,6.67,0.07,1.44,5753,1.19,285.70
K2-221,b,2.40,0.04,1.68,5716,0.95,697.93
K2-223,b,0.51,0.01,0.91,5859,1.01,6682.08
K2-230,b,2.86,0.04,1.93,6002,1.18,960.62
K2-233,c,7.06,0.07,1.34,4950,0.74,65.97
K2-233,b,2.47,0.03,1.40,4950,0.74,268.10
Kepler-1508,b,20.71,0.15,1.33,6158,1.22,80.79
Kepler-1512,b,20.36,0.13,1.18,4372,0.67,8.52
Kepler-1553,b,4.24,0.05,1.15,5288,0.81,194.96
Kepler-1558,b,3.50,0.04,0.68,5101,0.79,210.49
Kepler-1572,b,5.50,0.06,0.94,5618,0.95,221.58
Kepler-1576,b,6.98,0.07,1.04,5876,1.06,227.45
Kepler-1581,b,6.28,0.07,0.80,6022,1.23,372.62
Kepler-1586,b,15.60,0.14,1.52,6681,1.75,286.06
Kepler-1590,b,7.62,0.08,1.14,6053,1.16,263.29
Kepler-1595,b,4.56,0.05,1.23,5203,0.80,163.00
Kepler-1599,b,122.36,0.48,1.62,5767,0.99,4.21
Kepler-1646,b,4.49,0.03,1.23,3299,0.26,6.56
Kepler-409,b,68.96,0.32,1.19,5460,0.89,6.16
Kepler-777,b,5.73,0.05,1.47,4043,0.56,27.53
Kepler-796,b,6.40,0.07,1.30,5475,1.09,220.81
Kepler-542,b,13.14,0.11,1.57,5526,0.90,59.85
Kepler-617,b,1.68,0.02,1.32,3712,0.48,80.19
Kepler-710,b,4.35,0.05,1.88,5611,0.91,282.36
Kepler-1649,b,8.69,0.05,1.08,3240,0.25,2.34
Kepler-1650,b,1.54,0.02,0.96,3410,0.33,40.67
Kepler-1651,b,9.88,0.07,1.84,3713,0.50,8.12
GJ9827,b,1.21,0.02,1.75,4255,0.65,310.64
GJ9827,c,3.65,0.04,1.36,4255,0.65,70.44
Kepler-80,g,14.65,0.11,1.13,4540,0.68,15.84
KOI-351,i,14.45,0.12,1.32,6080,1.20,115.97
